N	r	c	alpha	beta	Pi_Em	Pi_Tm	Pi_F	Pi_P	Run_Time
101	2	0.8	1.25	0.0625	2077.579712	2083.850118	2085.582494	2104.064466	648669195
101	2	0.9	1.25	0.0625	1870.368886	1877.850777	1879.827512	1898.071771	695227597
101	2	1	1.25	0.0625	1666.298018	1675.209521	1677.491191	1695.193946	643852790
101	2	1.1	1.25	0.0625	1469.029075	1479.322309	1481.931697	1498.850187	727972743
101	2	1.2	1.25	0.0625	1272.512908	1284.548417	1288.202529	1304.051513	704283330
101	2	1.3	1.25	0.0625	1085.476802	1098.664061	1102.27491	1116.859131	514382994
101	2	1.4	1.25	0.0625	902.0311732	917.4761922	921.3080152	934.4005276	1390346752
101	2	1.5	1.25	0.0625	725.9605855	742.723521	746.53368	757.935602	1392402371
101	2	1.6	1.25	0.0625	554.8141236	573.877124	578.3536792	587.8629868	1392523494
101	2	1.7	1.25	0.0625	392.5881587	413.2038138	417.2321207	424.6522249	1376084687
101	2	1.8	1.25	0.0625	236.8038482	259.7610028	263.4672736	268.6028018	704450809
101	2	0.2	60	2	5247.775634	5247.840706	5247.874818	5252.433577	330676268
101	2	0.3	60	2	4879.477845	4879.624792	4879.693621	4885.574653	428880685
101	2	0.4	60	2	4525.647762	4525.892201	4526.007398	4532.910062	519339689
101	2	0.5	60	2	4178.520486	4178.92185	4179.09674	4186.783036	603912017
101	2	0.6	60	2	3842.770296	3843.34345	3843.584488	3851.850587	682569128
101	2	0.7	60	2	3516.579496	3517.346834	3517.667352	3526.325222	756901266
101	2	0.8	60	2	3196.129367	3197.142674	3197.528878	3206.397268	827652202
101	2	0.9	60	2	2884.287684	2885.521899	2885.972655	2894.941822	892091029
101	2	1	60	2	2579.670158	2581.217938	2581.758026	2590.63468	670940419
101	2	1.1	60	2	2281.323898	2283.182756	2283.794859	2292.462639	710819038
101	2	1.2	60	2	1990.020263	1992.263874	1992.966688	2001.297516	748088019
101	2	1.3	60	2	1706.371315	1708.968981	1709.736173	1717.588486	780546976
101	2	1.4	60	2	1429.624475	1432.617513	1433.445302	1440.66107	827104862
101	2	1.5	60	2	1161.464174	1164.84907	1165.709418	1172.192254	852347062
101	2	1.6	60	2	901.5070088	905.2655056	906.1378308	911.718068	1520135041
101	2	1.7	60	2	650.7548307	654.8284823	655.6749013	660.1917802	1534348366
101	2	1.8	60	2	411.9253056	416.239665	416.9868118	420.2813756	1687050178
101	2	0.2	30	1	5248.75376	5248.845294	5248.887726	5254.373541	332526303
101	2	0.3	30	1	4880.243685	4880.440076	4880.533644	4887.617899	430832540
101	2	0.4	30	1	4523.611346	4523.964157	4524.11928	4532.423139	522402889
101	2	0.5	30	1	4178.001287	4178.535088	4178.746098	4187.971569	605843606
101	2	0.6	30	1	3842.773637	3843.539005	3843.835611	3853.753786	685777117
101	2	0.7	30	1	3514.366715	3515.382641	3515.765561	3526.155726	759133270
101	2	0.8	30	1	3194.384078	3195.769127	3196.26908	3206.925582	830998244
101	2	0.9	30	1	2882.8673	2884.602776	2885.211037	2895.953016	898026714
101	2	1	30	1	2578.281104	2580.323878	2581.00627	2591.652996	954446509
101	2	1.1	30	1	2279.489266	2282.010959	2282.789	2293.191468	1010914394
101	2	1.2	30	1	1988.675604	1991.639766	1992.515215	2002.507894	1063599682
101	2	1.3	30	1	1704.684921	1708.134929	1709.103118	1718.494538	1389838826
101	2	1.4	30	1	1428.674858	1432.664846	1433.70702	1442.369475	851827465
101	2	1.5	30	1	1159.695166	1164.299888	1165.381233	1173.131926	1476364524
101	2	1.6	30	1	899.2915816	904.4620456	905.5794148	912.2475136	1505973956
101	2	1.7	30	1	648.5285949	654.2800725	655.3424778	660.734705	1518369217
101	2	1.8	30	1	409.57755	415.890059	416.8550362	420.777619	1526255456
101	2	0.2	15	0.5	5246.702087	5246.827634	5246.878196	5253.478383	663733435
101	2	0.3	15	0.5	4878.056189	4878.337434	4878.44417	4886.949047	864521691
101	2	0.4	15	0.5	4521.686541	4522.167484	4522.350482	4532.30072	1047969390
101	2	0.5	15	0.5	4178.098766	4178.864657	4179.132212	4190.191689	1215739010
