r	c	alpha	beta	Q_E_bar	Q_E	Pi_E	Time_E	CPUTime_E	Comp_E
2	1.8	3.75	0.125	33	15	9.294056866	1671127	13213890	160214
2	1.7	3.75	0.125	37	18	16.55862793	1834954	14523540	176557
2	1.6	3.75	0.125	39	20	24.81137962	1878572	14861660	180889
2	1.5	3.75	0.125	42	23	33.86441336	1938079	15352350	186738
2	1.4	3.75	0.125	43	24	43.58980904	1844461	14646310	180082
2	1.3	3.75	0.125	45	26	53.91208276	1813791	14417910	177666
2	1.2	3.75	0.125	46	28	64.76907063	1839095	14496620	174992
2	1.1	3.75	0.125	48	30	76.12500461	1803197	14205430	171167
2	1	3.75	0.125	49	31	87.96212804	1693290	13337400	161376
2	0.9	3.75	0.125	50	33	100.2748404	1614512	12689020	152786
2	0.8	3.75	0.125	52	35	113.052741	1513126	11945470	147568
2	0.7	3.75	0.125	53	37	126.3103001	1317428	10444260	133241
2	0.6	3.75	0.125	54	39	140.070558	1213831	9606000	124436
2	0.5	3.75	0.125	56	42	154.3802899	1110512	8763610	114907
2	0.4	3.75	0.125	58	45	169.2898382	1000054	7876100	105368
2	0.3	3.75	0.125	60	49	184.9081569	917442	6925260	89144
2	0.2	3.75	0.125	63	54	201.416432	887727	5520780	78058
2	1.8	1.875	0.0625	41	11	6.521730168	7209239	49033960	444068
2	1.7	1.875	0.0625	47	15	12.75929274	6526691	52015800	523656
2	1.6	1.875	0.0625	51	18	20.21383061	7072467	56453360	568901
2	1.5	1.875	0.0625	55	20	28.65962574	7587792	60551600	603557
2	1.4	1.875	0.0625	58	23	37.9180972	7698008	61447190	607877
2	1.3	1.875	0.0625	60	25	47.9057073	7749682	61851400	608851
2	1.2	1.875	0.0625	62	27	58.54194936	7740850	61789370	606331
2	1.1	1.875	0.0625	64	29	69.77463881	7678455	61263720	600712
2	1	1.875	0.0625	66	32	81.58279465	7386814	58963140	579187
2	0.9	1.875	0.0625	68	34	93.94634809	7194467	57427130	566935
2	0.8	1.875	0.0625	70	37	106.8678272	6794175	54223930	540286
2	0.7	1.875	0.0625	72	39	120.3483841	6389451	51001480	512362
2	0.6	1.875	0.0625	74	43	134.4268224	5810732	46375680	470692
