r	c	alpha	beta	Q_Em	Pi_Em	Time_Em	CPUTime_Em	Comp_Em
2	1.5	1.875	0.0625	13	26.59830664	220	2650	269
2	1.4	1.875	0.0625	16	36.10099645	351	4210	375
2	1.3	1.875	0.0625	18	46.07710282	479	5750	446
2	1.2	1.875	0.0625	20	56.60784246	610	7320	538
2	1.1	1.875	0.0625	22	67.88680136	782	9360	613
2	1	1.875	0.0625	25	80.16326928	1079	12930	760
2	0.9	1.875	0.0625	27	92.54287639	1124	13410	859
2	0.8	1.875	0.0625	30	105.7582358	1351	16210	1001
2	0.7	1.875	0.0625	33	119.4166785	1746	20430	1189
2	0.6	1.875	0.0625	37	133.8512008	2417	28350	1513
2	0.5	1.875	0.0625	41	148.745521	3062	35180	1830
2	0.4	1.875	0.0625	46	164.3608115	4244	48210	2269
2	0.3	1.875	0.0625	52	180.7534913	5893	65720	2859
2	0.2	1.875	0.0625	60	198.1772	9940	110570	3840
2	1.8	80	2	30	21.97231865	1409	16740	703
2	1.7	80	2	32	34.61929471	1561	18610	758
2	1.6	80	2	33	47.8507678	1708	20500	787
2	1.5	80	2	35	61.64014666	1913	22920	862
2	1.4	80	2	36	75.85667999	2037	24420	905
2	1.3	80	2	37	90.47084906	2211	26200	964
2	1.2	80	2	38	105.4831698	2411	28050	986
2	1.1	80	2	39	120.8717765	2631	31150	1016
2	1	80	2	40	136.6191716	2668	31460	1060
2	0.9	80	2	41	152.7355899	2384	27480	1087
2	0.8	80	2	42	169.2170839	2397	27740	1114
2	0.7	80	2	43	186.0754666	2468	29330	1143
2	0.6	80	2	44	203.3454224	2835	32730	1223
2	0.5	80	2	45	221.0380949	3009	35140	1259
2	0.4	80	2	46	239.2027445	3393	39000	1356
2	0.3	80	2	48	257.9319094	3772	44150	1458
2	0.2	80	2	50	277.3256279	4314	50450	1624
2	1.8	40	1	29	20.96256457	1034	12390	691
2	1.7	40	1	31	33.30916785	1195	14340	798
2	1.6	40	1	32	46.31273953	1340	16070	835
2	1.5	40	1	34	59.96061836	1520	18080	915
2	1.4	40	1	35	74.0384581	1680	19880	985
2	1.3	40	1	36	88.58617238	1804	21570	1017
2	1.2	40	1	37	103.5367541	1993	23570	1097
2	1.1	40	1	38	118.8893459	2113	24900	1116
2	1	40	1	40	134.7168972	2319	27610	1204
2	0.9	40	1	41	150.8695374	2030	23590	1262
2	0.8	40	1	42	167.4052476	2182	25380	1296
2	0.7	40	1	43	184.3498743	2325	27030	1394
2	0.6	40	1	44	201.713907	2568	29870	1442
2	0.5	40	1	46	219.5670691	2953	34420	1622
2	0.4	40	1	47	237.8995275	3302	37850	1730
2	0.3	40	1	49	256.8371092	3790	43730	1836
2	0.2	40	1	52	276.4937368	4591	52070	2104
2	1.8	20	0.5	27	19.4201113	811	9650	631
2	1.7	20	0.5	29	31.33940023	901	10800	712
2	1.6	20	0.5	31	44.11471213	1091	13080	832
2	1.5	20	0.5	32	57.38062422	1227	14720	903
2	1.4	20	0.5	34	71.42748848	1406	16850	992
2	1.3	20	0.5	35	85.80538058	1539	18350	1073
2	1.2	20	0.5	36	100.6920715	1697	20250	1107
2	1.1	20	0.5	38	116.1659735	1946	22840	1237
2	1	20	0.5	39	131.9339238	2077	24350	1281
2	0.9	20	0.5	41	148.2168896	1872	21730	1385
2	0.8	20	0.5	42	164.836428	1985	23160	1447
2	0.7	20	0.5	43	181.8800717	2309	26470	1553
2	0.6	20	0.5	45	199.4647441	2579	29780	1738
2	0.5	20	0.5	47	217.5243388	3051	34970	1923
2	0.4	20	0.5	49	236.1135191	3546	40700	2125
2	0.3	20	0.5	51	255.3279505	4121	45930	2333
2	0.2	20	0.5	54	275.3386984	5037	56480	2629
2	1.8	10	0.25	23	17.16209528	523	6260	492
2	1.7	10	0.25	26	28.44006512	686	8220	625
2	1.6	10	0.25	28	40.66821758	824	9880	710
2	1.5	10	0.25	30	53.7890567	1009	12080	828
2	1.4	10	0.25	32	67.58283545	1195	14350	921
2	1.3	10	0.25	33	81.76392716	1340	16040	1001
2	1.2	10	0.25	35	96.64189819	1567	18450	1115
2	1.1	10	0.25	37	112.1422682	1790	21200	1211
2	1	10	0.25	39	128.0673369	2083	24740	1354
2	0.9	10	0.25	40	144.2866818	1831	21290	1418
2	0.8	10	0.25	42	161.1038161	2057	24030	1579
2	0.7	10	0.25	44	178.4271513	2356	27600	1714
2	0.6	10	0.25	46	196.2477185	2844	32930	1906
2	0.5	10	0.25	49	214.6414108	3367	38250	2188
2	0.4	10	0.25	51	233.5416713	4092	45090	2471
2	0.3	10	0.25	55	253.2180752	5022	56000	2870
2	0.2	10	0.25	59	273.7223367	6419	70380	3389
2	1.8	5	0.125	18	14.01924083	300	3600	349
2	1.7	5	0.125	21	24.25706022	457	5490	467
2	1.6	5	0.125	24	35.90405934	609	7320	577
2	1.5	5	0.125	26	48.30704602	781	9370	684
2	1.4	5	0.125	28	61.59673443	943	11300	770
2	1.3	5	0.125	31	75.98749896	1213	14440	933
2	1.2	5	0.125	33	90.72130132	1411	16810	1019
2	1.1	5	0.125	35	106.1910531	1724	20410	1149
2	1	5	0.125	37	122.0794331	1959	23090	1297
2	0.9	5	0.125	40	138.760223	1926	22460	1463
2	0.8	5	0.125	42	155.7124108	2204	25500	1637
2	0.7	5	0.125	45	173.4253043	2721	31160	1893
2	0.6	5	0.125	48	191.6215891	3315	37660	2179
2	0.5	5	0.125	51	210.3744466	4033	46240	2487
2	0.4	5	0.125	55	229.8429026	5162	58060	2955
2	0.3	5	0.125	59	250.0657102	6568	73290	3448
2	0.2	5	0.125	65	271.307803	8642	94720	4209
2	1.8	2.5	0.0625	12	10.05788061	137	1650	207
2	1.7	2.5	0.0625	15	18.6642908	240	2880	292
2	1.6	2.5	0.0625	18	29.13006141	378	4540	392
2	1.5	2.5	0.0625	21	40.84176712	538	6460	513
2	1.4	2.5	0.0625	24	53.8493987	755	9050	632
2	1.3	2.5	0.0625	26	67.42453357	964	11550	743
2	1.2	2.5	0.0625	29	81.98747663	1201	14400	867
2	1.1	2.5	0.0625	32	97.53438026	1580	18630	1038
2	1	2.5	0.0625	35	113.687374	1963	23180	1230
2	0.9	2.5	0.0625	38	130.4186518	1998	23570	1395
2	0.8	2.5	0.0625	41	147.8084426	2429	28040	1639
2	0.7	2.5	0.0625	45	165.9179817	3147	35890	1959
2	0.6	2.5	0.0625	49	184.6383705	3946	44970	2316
