r	c	alpha	beta	M	Q_A4m_bar	Q_A4m	Pi_A4m	Time_A4m	CPUTime_A4m	Comp_A4m
2	0.4	7.5	0.25	4	40	40	172.8408687	1367	130	6053615
2	0.3	7.5	0.25	4	43	43	187.8360521	2992	250	7726990
2	0.2	7.5	0.25	4	46	46	203.625978	172	280	17532569
2	1.8	3.75	0.125	4	12	12	11.99620041	510	280	84370
2	1.7	3.75	0.125	4	14	14	19.87393054	269	20	160805
2	1.6	3.75	0.125	4	16	16	28.46484976	224	20	274348
2	1.5	3.75	0.125	4	18	18	37.64538343	236	200	430347
2	1.4	3.75	0.125	4	20	20	47.35311596	335	40	640724
2	1.3	3.75	0.125	4	22	22	57.53519027	391	40	906264
2	1.2	3.75	0.125	4	23	23	68.09892359	394	40	1109855
2	1.1	3.75	0.125	4	25	25	79.19062996	213	50	1497725
2	1	3.75	0.125	4	27	27	90.7156436	379	60	1968695
2	0.9	3.75	0.125	4	29	29	102.6825862	420	780	2520768
2	0.8	3.75	0.125	4	31	31	115.0981096	2575	690	3194218
2	0.7	3.75	0.125	4	34	34	128.0272704	378	410	4302682
2	0.6	3.75	0.125	4	36	36	141.426551	282	100	5289160
2	0.5	3.75	0.125	4	39	39	155.4075706	957	130	6902716
2	0.4	3.75	0.125	4	42	42	170.0066185	3310	1430	8893911
2	0.3	3.75	0.125	4	47	47	185.3642277	448	170	12635220
2	0.2	3.75	0.125	4	52	52	201.6475404	898	200	17677840
2	1.8	1.875	0.0625	4	7	7	10.14317747	401	290	18583
2	1.7	1.875	0.0625	4	9	9	17.49784377	209	10	48840
2	1.6	1.875	0.0625	4	11	11	25.68060551	262	20	105605
2	1.5	1.875	0.0625	4	13	13	34.49484022	220	70	190527
2	1.4	1.875	0.0625	4	16	16	44.06322419	223	20	386396
2	1.3	1.875	0.0625	4	18	18	53.929946	188	30	593261
2	1.2	1.875	0.0625	4	20	20	64.28471561	274	30	866311
2	1.1	1.875	0.0625	4	22	22	75.11002301	162	40	1225274
2	1	1.875	0.0625	4	25	25	86.5046164	1520	700	1855666
2	0.9	1.875	0.0625	4	27	27	98.28324707	299	60	2436861
2	0.8	1.875	0.0625	4	30	30	110.6492849	371	80	3435891
2	0.7	1.875	0.0625	4	33	33	123.5263924	535	90	4715027
2	0.6	1.875	0.0625	4	37	37	137.0240249	240	430	6763722
2	0.5	1.875	0.0625	4	41	41	151.1524849	188	510	9380673
2	0.4	1.875	0.0625	4	46	46	166.0304221	152	170	16087919
2	0.3	1.875	0.0625	4	52	52	181.79842	205	230	19826040
2	0.2	1.875	0.0625	4	60	60	198.7087794	359	390	31065803
2	1.8	80	2	4	30	30	22.21560303	516	290	586479
2	1.7	80	2	4	32	32	34.89793912	2281	660	724148
2	1.6	80	2	4	33	33	48.15412108	313	450	809727
2	1.5	80	2	4	35	35	61.92132721	546	90	943728
2	1.4	80	2	4	36	36	76.12198441	501	100	1097109
2	1.3	80	2	4	37	37	90.7264448	607	110	1182722
2	1.2	80	2	4	38	38	105.7123565	611	110	1366867
2	1.1	80	2	4	39	39	121.0676973	1567	120	1482571
2	1	80	2	4	40	40	136.7874443	708	640	1624195
2	0.9	80	2	4	41	41	152.8727509	626	340	1848708
2	0.8	80	2	4	42	42	169.3285502	3538	1390	2020391
2	0.7	80	2	4	43	43	186.1676922	620	140	2222102
2	0.6	80	2	4	44	44	203.4108824	586	150	2445409
2	0.5	80	2	4	45	45	221.0864742	628	700	2661040
2	0.4	80	2	4	46	46	239.235086	1763	170	3053024
2	0.3	80	2	4	48	48	257.9492027	3827	1390	3529309
2	0.2	80	2	4	50	50	277.333432	571	200	4223741
2	1.8	40	1	4	29	29	21.53259308	518	80	697247
2	1.7	40	1	4	31	31	33.97593158	475	80	891320
2	1.6	40	1	4	32	32	47.03438472	530	80	1036367
2	1.5	40	1	4	34	34	60.64696905	539	90	1308574
2	1.4	40	1	4	35	35	74.71328381	545	100	1463538
2	1.3	40	1	4	36	36	89.20980372	3185	730	1700202
2	1.2	40	1	4	37	37	104.1140888	606	100	1895915
2	1.1	40	1	4	38	38	119.4142745	560	190	2095561
2	1	40	1	4	40	40	135.1206196	3155	1210	2464812
2	0.9	40	1	4	41	41	151.2072642	571	130	2793806
2	0.8	40	1	4	42	42	167.6888308	1138	140	3028919
2	0.7	40	1	4	43	43	184.5779589	490	150	3395205
2	0.6	40	1	4	44	44	201.8935557	693	140	3751554
2	0.5	40	1	4	46	46	219.6862865	1208	160	4374557
2	0.4	40	1	4	47	47	237.9841111	3824	1420	4901524
2	0.3	40	1	4	49	49	256.8840959	703	190	5676952
2	0.2	40	1	4	52	52	276.5131698	3945	830	6838478
2	1.8	20	0.5	4	27	27	20.62556261	408	50	725788
2	1.7	20	0.5	4	29	29	32.75650648	416	60	1006439
2	1.6	20	0.5	4	31	31	45.57497043	427	210	1288686
2	1.5	20	0.5	4	32	32	58.94435293	480	90	1517849
2	1.4	20	0.5	4	34	34	72.85279495	414	540	1874325
2	1.3	20	0.5	4	35	35	87.20526597	546	90	2172564
2	1.2	20	0.5	4	36	36	101.9903569	499	100	2484146
2	1.1	20	0.5	4	38	38	117.2508803	609	110	2958083
2	1	20	0.5	4	39	39	132.8980448	565	120	3346789
2	0.9	20	0.5	4	41	41	148.9858847	627	120	3919501
2	0.8	20	0.5	4	42	42	165.4919126	632	130	4400500
2	0.7	20	0.5	4	43	43	182.4297519	738	140	4895989
2	0.6	20	0.5	4	45	45	199.8691921	430	150	5699341
2	0.5	20	0.5	4	47	47	217.8038634	641	170	6660925
2	0.4	20	0.5	4	49	49	236.2992324	729	620	7734300
2	0.3	20	0.5	4	51	51	255.4428157	572	200	9027310
2	0.2	20	0.5	4	54	54	275.3929115	2843	350	11099237
2	1.8	10	0.25	4	23	23	19.43798598	45	60	575935
2	1.7	10	0.25	4	26	26	31.18692176	52	50	915796
2	1.6	10	0.25	4	28	28	43.65873807	59	60	1259828
2	1.5	10	0.25	4	30	30	56.76337434	68	80	1643426
2	1.4	10	0.25	4	32	32	70.42694574	76	70	2108462
2	1.3	10	0.25	4	33	33	84.56151263	80	80	2442790
2	1.2	10	0.25	4	35	35	99.23805605	89	90	2999787
2	1.1	10	0.25	4	37	37	114.376773	98	100	3666973
2	1	10	0.25	4	39	39	129.9738639	109	110	4438662
2	0.9	10	0.25	4	40	40	146.0087499	114	110	4970401
2	0.8	10	0.25	4	42	42	162.5485008	125	130	5894318
2	0.7	10	0.25	4	44	44	179.5750044	136	140	6959590
2	0.6	10	0.25	4	46	46	197.1209151	148	150	8179380
2	0.5	10	0.25	4	49	49	215.2413823	166	170	16755806
2	0.4	10	0.25	4	51	51	233.9784829	180	180	11730892
2	0.3	10	0.25	4	55	55	253.457504	207	210	14948421
2	0.2	10	0.25	4	59	59	273.8409592	237	240	19090141
2	1.8	5	0.125	4	18	18	17.93863954	544	1240	311585
2	1.7	5	0.125	4	21	21	29.15791267	158	40	579881
2	1.6	5	0.125	4	24	24	41.22144078	168	50	959695
2	1.5	5	0.125	4	26	26	53.91711725	108	110	1319566
2	1.4	5	0.125	4	28	28	67.23023349	110	120	1763052
2	1.3	5	0.125	4	31	31	81.18780687	177	80	2490199
2	1.2	5	0.125	4	33	33	95.61495082	180	690	3133786
2	1.1	5	0.125	4	35	35	110.5656516	150	150	3917311
2	1	5	0.125	4	37	37	126.029385	185	250	4801028
2	0.9	5	0.125	4	40	40	142.0543263	363	120	6174264
2	0.8	5	0.125	4	42	42	158.5707827	315	140	7388349
2	0.7	5	0.125	4	45	45	175.667764	214	610	9301018
2	0.6	5	0.125	4	48	48	193.3477595	220	220	11536822
2	0.5	5	0.125	4	51	51	211.669771	454	200	14215268
2	0.4	5	0.125	4	55	55	230.7212927	1157	2100	18193267
2	0.3	5	0.125	4	59	59	250.6223447	1372	1380	23180407
2	0.2	5	0.125	4	65	65	271.5852786	2305	1740	31942833
2	1.8	2.5	0.0625	4	12	12	15.8781688	410	480	96099
