r	c	alpha	beta	M	Q_A2	Pi_A2	Time_A2
2	1.8	5	0.125	2	21	17.512146	16863963
2	1.7	5	0.125	2	24	28.692539	36923188
2	1.6	5	0.125	2	26	40.713462	44828080
2	1.5	5	0.125	2	28	53.436476	40559194
2	1.4	5	0.125	2	31	66.784474	66829433
2	1.3	5	0.125	2	33	80.707851	88382437
2	1.2	5	0.125	2	35	95.17381	127797805
2	1.1	5	0.125	2	37	110.16723	184703267
2	1	5	0.125	2	39	125.6819	261665542
2	0.9	5	0.125	2	41	141.72043	286162003
2	0.8	5	0.125	2	43	158.29161	247
2	0.7	5	0.125	2	46	175.42045	290
2	0.6	5	0.125	2	48	193.14084	198
2	0.5	5	0.125	2	52	211.5113	274
2	0.4	5	0.125	2	55	230.60561	237
2	0.3	5	0.125	2	60	250.55092	346
2	0.2	5	0.125	2	66	271.54895	420
2	1.8	2.5	0.0625	2	17	15.035939	2478897
2	1.7	2.5	0.0625	2	20	25.517989	5809795
2	1.6	2.5	0.0625	2	23	36.973902	12821887
2	1.5	2.5	0.0625	2	26	49.22013	24328291
2	1.4	2.5	0.0625	2	28	62.178912	36834895
2	1.3	2.5	0.0625	2	30	75.773113	55163174
2	1.2	2.5	0.0625	2	33	89.98384	98827330
2	1.1	2.5	0.0625	2	35	104.77972	131997940
2	1	2.5	0.0625	2	38	120.16204	16481345
2	0.9	2.5	0.0625	2	41	136.12847	286696152
2	0.8	2.5	0.0625	2	44	152.69887	432386473
2	0.7	2.5	0.0625	2	47	169.90718	227
2	0.6	2.5	0.0625	2	51	187.79046	247
2	0.5	2.5	0.0625	2	55	206.42631	284
2	0.4	2.5	0.0625	2	60	225.91165	255
2	0.3	2.5	0.0625	2	67	246.41018	403
2	0.2	2.5	0.0625	2	76	268.19991	398
2	1.8	100	2	2	39	28.947203	7635715
2	1.7	100	2	2	41	45.208598	10395812
2	1.6	100	2	2	43	62.140025	13137925
2	1.5	100	2	2	44	79.63513	54076119
2	1.4	100	2	2	45	97.621618	65900370
2	1.3	100	2	2	47	116.06918	25397740
2	1.2	100	2	2	48	134.95534	30198381
2	1.1	100	2	2	49	154.25737	28884754
2	1	100	2	2	50	173.96783	33560201
2	0.9	100	2	2	51	194.08672	38666211
2	0.8	100	2	2	52	214.619	45113381
2	0.7	100	2	2	53	235.57698	49319232
2	0.6	100	2	2	54	256.98008	55888721
2	0.5	100	2	2	56	278.87419	65777763
2	0.4	100	2	2	57	301.29809	78829206
2	0.3	100	2	2	59	324.3364	90061186
2	0.2	100	2	2	61	348.12075	126516765
2	1.8	50	1	2	38	28.123686	39567678
2	1.7	50	1	2	40	44.102734	40707021
2	1.6	50	1	2	42	60.802031	47768757
2	1.5	50	1	2	43	78.106334	12470241
2	1.4	50	1	2	45	95.950507	19042068
2	1.3	50	1	2	46	114.28953	34775849
2	1.2	50	1	2	47	133.08621	32122666
2	1.1	50	1	2	49	152.33318	30210990
2	1	50	1	2	50	172.02804	31330788
2	0.9	50	1	2	51	192.15642	35677566
2	0.8	50	1	2	52	212.72264	38004606
2	0.7	50	1	2	54	233.75186	78443035
2	0.6	50	1	2	55	255.26578	53622950
2	0.5	50	1	2	57	277.28952	80400420
2	0.4	50	1	2	58	299.8874	83391462
2	0.3	50	1	2	60	323.14323	92735108
2	0.2	50	1	2	63	347.21143	145942395
2	1.8	25	0.5	2	35	27.050273	6624172
2	1.7	25	0.5	2	38	42.663125	12724216
2	1.6	25	0.5	2	40	59.058105	16004153
2	1.5	25	0.5	2	42	76.112661	25463495
2	1.4	25	0.5	2	44	93.747258	33566846
2	1.3	25	0.5	2	45	111.92994	31828337
2	1.2	25	0.5	2	47	130.61428	52794211
2	1.1	25	0.5	2	48	149.78963	51377132
2	1	25	0.5	2	50	169.44318	81577163
2	0.9	25	0.5	2	51	189.5758	76458593
2	0.8	25	0.5	2	53	210.19266	124808385
2	0.7	25	0.5	2	54	231.30405	120776252
2	0.6	25	0.5	2	56	252.94926	149732587
2	0.5	25	0.5	2	58	275.15459	200054645
2	0.4	25	0.5	2	60	297.98241	228671957
2	0.3	25	0.5	2	63	321.53413	310
2	0.2	25	0.5	2	66	345.96788	368
2	1.8	12.5	0.25	2	32	25.664218	7661037
2	1.7	12.5	0.25	2	35	40.81867	13122970
2	1.6	12.5	0.25	2	37	56.823366	21950106
2	1.5	12.5	0.25	2	40	73.555953	31807964
2	1.4	12.5	0.25	2	42	90.927472	49468904
2	1.3	12.5	0.25	2	44	108.88734	64844092
2	1.2	12.5	0.25	2	46	127.40324	84079462
2	1.1	12.5	0.25	2	47	146.46081	81575956
2	1	12.5	0.25	2	49	166.05038	107820635
2	0.9	12.5	0.25	2	51	186.16788	186100037
2	0.8	12.5	0.25	2	53	206.8214	178936984
2	0.7	12.5	0.25	2	55	228.02816	225357827
2	0.6	12.5	0.25	2	58	249.82429	551
2	0.5	12.5	0.25	2	60	272.2487	366
2	0.4	12.5	0.25	2	63	295.37298	326
2	0.3	12.5	0.25	2	67	319.30578	498
2	0.2	12.5	0.25	2	71	344.23757	349
2	1.8	6.25	0.125	2	28	23.729687	7057460
2	1.7	6.25	0.125	2	31	38.299925	12830336
2	1.6	6.25	0.125	2	34	53.832211	24043860
2	1.5	6.25	0.125	2	37	70.158736	41611224
2	1.4	6.25	0.125	2	39	87.189884	64637634
2	1.3	6.25	0.125	2	42	104.86472	23962531
2	1.2	6.25	0.125	2	44	123.1644	136568856
2	1.1	6.25	0.125	2	46	142.05426	160771121
2	1	6.25	0.125	2	49	161.52959	261700075
2	0.9	6.25	0.125	2	51	181.6003	245140749
2	0.8	6.25	0.125	2	54	202.27097	1506
2	0.7	6.25	0.125	2	57	223.56775	1725
2	0.6	6.25	0.125	2	60	245.53179	1586
2	0.5	6.25	0.125	2	63	268.21725	4370
2	0.4	6.25	0.125	2	67	291.7082	2014
2	0.3	6.25	0.125	2	72	316.14012	1448
2	0.2	6.25	0.125	2	79	341.74067	2170
2	1.8	3.125	0.0625	2	24	20.93366	6832084
2	1.7	3.125	0.0625	2	27	34.718429	14399228
2	1.6	3.125	0.0625	2	30	49.594677	27821494
2	1.5	3.125	0.0625	2	33	65.383484	45506058
2	1.4	3.125	0.0625	2	36	81.968563	77815541
2	1.3	3.125	0.0625	2	39	99.28481	37962752
2	1.2	3.125	0.0625	2	42	117.28967	188848446
2	1.1	3.125	0.0625	2	45	135.96089	38321052
2	1	3.125	0.0625	2	48	155.29251	395933386
2	0.9	3.125	0.0625	2	51	175.28939	21447
2	0.8	3.125	0.0625	2	54	195.96601	383
2	0.7	3.125	0.0625	2	58	217.36033	403
2	0.6	3.125	0.0625	2	62	239.51789	432
2	0.5	3.125	0.0625	2	67	262.51286	397
2	0.4	3.125	0.0625	2	73	286.46337	384
2	0.3	3.125	0.0625	2	80	311.54068	701
2	0.2	3.125	0.0625	2	90	338.04389	865
