r	c	alpha	beta	Q_T	Pi_T	Time_T	CPUTime_T	Comp_T
2	0.9	30	1	31	110.5672311	380162	4179930	315432
2	0.8	30	1	32	122.9631154	380408	4185210	324877
2	0.7	30	1	33	135.7140335	364143	4004530	333490
2	0.6	30	1	34	148.8410837	372345	4086670	348291
2	0.5	30	1	35	162.3717027	391775	4307180	358254
2	0.4	30	1	36	176.3451707	383014	4206100	374520
2	0.3	30	1	38	190.8485549	366930	4042260	395353
2	0.2	30	1	40	205.9863899	424774	4666070	420498
2	1.8	15	0.5	19	14.31066553	338452	3722570	296525
2	1.7	15	0.5	21	22.98809654	381528	4188250	340060
2	1.6	15	0.5	22	32.24019691	364090	3995200	358190
2	1.5	15	0.5	24	41.97585303	395692	4343490	397190
2	1.4	15	0.5	25	52.14933911	660083	6929730	419093
2	1.3	15	0.5	26	62.71786748	659129	6193560	435953
2	1.2	15	0.5	27	73.66221501	557669	5273930	457588
2	1.1	15	0.5	28	84.97251576	510884	5152600	481179
2	1	15	0.5	29	96.6429695	378209	4179000	501258
2	0.9	15	0.5	31	108.6842101	411726	4528010	543033
2	0.8	15	0.5	32	121.1003639	433371	4790650	559344
2	0.7	15	0.5	33	133.8973192	418628	4611790	587673
2	0.6	15	0.5	34	147.0932113	403750	4475370	609589
2	0.5	15	0.5	36	160.7472436	465971	5147190	648540
2	0.4	15	0.5	38	174.883616	471813	5197720	694994
2	0.3	15	0.5	40	189.5933785	473451	5213360	739755
2	0.2	15	0.5	43	205.0058435	489903	5423520	804406
2	1.8	7.5	0.25	16	13.37421188	294683	3232430	475114
2	1.7	7.5	0.25	19	21.71984844	374243	3972130	584372
2	1.6	7.5	0.25	20	30.69464529	407336	4369320	631897
2	1.5	7.5	0.25	22	40.1928996	465690	4865260	712678
2	1.4	7.5	0.25	23	50.15380237	479416	5123400	753512
2	1.3	7.5	0.25	25	60.55515834	568398	5904010	836080
2	1.2	7.5	0.25	26	71.36690815	544611	5924070	868536
2	1.1	7.5	0.25	28	82.57434073	664180	6998210	950918
2	1	7.5	0.25	29	94.18901186	613384	6505270	994802
2	0.9	7.5	0.25	30	106.1893618	678731	7264400	1051773
2	0.8	7.5	0.25	32	118.6153125	735203	7931930	1132522
2	0.7	7.5	0.25	34	131.4567013	777723	7984080	1224850
2	0.6	7.5	0.25	36	144.7493004	808912	8397150	1314169
2	0.5	7.5	0.25	38	158.5385205	892722	9280010	1406316
2	0.4	7.5	0.25	40	172.8818128	930467	10170340	1493633
2	0.3	7.5	0.25	43	187.8620322	1123426	12222910	1626715
2	0.2	7.5	0.25	46	203.6405035	1291272	14098740	1765694
2	1.8	3.75	0.125	13	12.2561747	590011	4905930	850640
2	1.7	3.75	0.125	15	20.18355696	794235	6532000	1039769
2	1.6	3.75	0.125	17	28.7901137	709305	6267410	1196527
2	1.5	3.75	0.125	19	37.96864661	1152116	9756210	1391086
2	1.4	3.75	0.125	21	47.65560825	1245454	10637240	1579851
2	1.3	3.75	0.125	23	57.81191511	1461908	13171340	1751990
2	1.2	3.75	0.125	25	68.41659597	1893524	14396850	1956294
2	1.1	3.75	0.125	26	79.47212125	1718741	14825390	2051417
2	1	3.75	0.125	28	90.9643861	2194346	18418910	2250673
2	0.9	3.75	0.125	30	102.8994183	2386193	19701570	2418318
2	0.8	3.75	0.125	32	115.2915627	2558651	22086690	2583922
2	0.7	3.75	0.125	34	128.1614457	2817283	26307050	2771079
2	0.6	3.75	0.125	37	141.5471224	3584321	30787560	3080168
2	0.5	3.75	0.125	39	155.4934594	3417917	34907500	3267529
2	0.4	3.75	0.125	43	170.0769716	3764816	33498500	3673091
2	0.3	3.75	0.125	47	185.4035664	3808908	39136320	4006318
2	0.2	3.75	0.125	52	201.6702145	5457355	54959060	4476337
2	1.8	1.875	0.0625	9	11.00005933	2089295	7679130	1430171
2	1.7	1.875	0.0625	12	18.45130438	3792857	13941510	2034544
2	1.6	1.875	0.0625	14	26.61672291	4717672	21917180	2466491
2	1.5	1.875	0.0625	16	35.38457903	6342876	29198290	2893114
2	1.4	1.875	0.0625	18	44.69549366	7653750	39683110	3285809
2	1.3	1.875	0.0625	20	54.51505058	8477211	49969730	3728540
2	1.2	1.875	0.0625	22	64.82454929	13593383	64025360	4169479
2	1.1	1.875	0.0625	24	75.61573379	99082673	281545140	4538832
2	1	1.875	0.0625	26	86.88920384	9388231	73955590	4889461
2	0.9	1.875	0.0625	29	98.65815724	12988299	93795680	5539654
2	0.8	1.875	0.0625	31	110.9461862	13178158	96998770	5698611
2	0.7	1.875	0.0625	34	123.7753433	14627184	108401050	6098929
2	0.6	1.875	0.0625	38	137.2041265	63084501	288903810	6958995
2	0.5	1.875	0.0625	42	151.2891625	24487718	204859300	7712495
2	0.4	1.875	0.0625	46	166.1263021	24105040	220392970	8049038
2	0.3	1.875	0.0625	52	181.8658958	33558673	316787270	9021759
2	0.2	1.875	0.0625	60	198.7590179	11	120	11278554
2	1.8	80	2	30	22.24101606	62524	748660	192053
2	1.7	80	2	32	34.92956877	68759	823470	203801
2	1.6	80	2	33	48.19131985	70311	842280	210559
2	1.5	80	2	35	61.95952775	71025	845600	223692
2	1.4	80	2	36	76.16162068	74657	894190	229123
2	1.3	80	2	37	90.76548219	79209	949170	236450
2	1.2	80	2	38	105.7507562	87386	1042650	243768
2	1.1	80	2	39	121.1044098	80384	962930	251358
2	1	80	2	40	136.8213497	85837	1028340	257062
2	0.9	80	2	41	152.9027364	94375	1129980	264914
2	0.8	80	2	42	169.3542816	85432	1017770	272297
2	0.7	80	2	43	186.1900413	90255	1083030	275505
2	0.6	80	2	44	203.429057	93942	1125410	283629
2	0.5	80	2	45	221.1005739	94194	1128560	290301
2	0.4	80	2	46	239.2449601	98533	1176840	301385
2	0.3	80	2	48	257.9549276	102554	1227650	313938
2	0.2	80	2	50	277.3358368	108268	1291520	328295
2	1.8	40	1	29	21.58218613	96857	1160180	271856
2	1.7	40	1	31	34.03801529	103031	1230990	295326
2	1.6	40	1	33	47.11140931	107725	1282210	318849
2	1.5	40	1	34	60.72186286	112831	1339590	327526
2	1.4	40	1	35	74.79118762	113715	1356170	337806
2	1.3	40	1	36	89.28757437	118895	1418960	349982
2	1.2	40	1	37	104.1908116	124531	1485750	361345
2	1.1	40	1	39	119.4915765	127088	1509900	383907
2	1	40	1	40	135.1845176	133129	1579100	391954
2	0.9	40	1	41	151.264922	129432	1542210	404582
2	0.8	40	1	42	167.7401273	136707	1620470	416760
2	0.7	40	1	43	184.6222734	144897	1710720	429961
2	0.6	40	1	44	201.9305477	144680	1731800	439513
2	0.5	40	1	46	219.7133747	148907	1759660	464970
2	0.4	40	1	47	238.0043678	157534	1868910	478518
2	0.3	40	1	49	256.8966397	163166	1932110	500086
2	0.2	40	1	52	276.5187727	170002	2015050	535393
2	1.8	20	0.5	27	20.71131971	140444	1657950	419350
2	1.7	20	0.5	29	32.86322742	155773	1847950	457874
2	1.6	20	0.5	31	45.69241175	167606	1984000	497415
2	1.5	20	0.5	33	59.080644	190634	2187290	541841
2	1.4	20	0.5	34	72.98150911	190444	2250270	557427
2	1.3	20	0.5	35	87.33410056	204012	2409150	581866
2	1.2	20	0.5	37	102.1409994	222747	2552710	625466
2	1.1	20	0.5	38	117.3683062	224408	2629560	643905
2	1	20	0.5	39	133.0077514	233796	2752730	664819
2	0.9	20	0.5	41	149.0811108	248054	2905780	703731
2	0.8	20	0.5	42	165.5777113	253506	2986570	727308
2	0.7	20	0.5	44	182.516715	282394	3225300	772361
2	0.6	20	0.5	45	199.9291056	288666	3384680	794165
2	0.5	20	0.5	47	217.849322	307278	3593790	835329
2	0.4	20	0.5	49	236.3317975	325120	3800740	879537
2	0.3	20	0.5	51	255.4642384	343422	4046300	925020
2	0.2	20	0.5	55	275.4046089	393854	4498640	1015483
2	1.8	10	0.25	24	19.60252445	258399	2799640	714710
2	1.7	10	0.25	27	31.35772495	308908	3329510	828677
2	1.6	10	0.25	29	43.85438216	354895	3758020	904208
2	1.5	10	0.25	31	56.96273254	415308	4242200	990568
2	1.4	10	0.25	32	70.62442641	410310	4582380	1038082
2	1.3	10	0.25	34	84.79369677	477809	5050610	1125068
2	1.2	10	0.25	36	99.43826112	554738	5571790	1208670
2	1.1	10	0.25	37	114.5522344	530398	5937730	1251895
2	1	10	0.25	39	130.1314282	582671	6533420	1331791
2	0.9	10	0.25	41	146.1687952	638395	6850370	1422732
2	0.8	10	0.25	43	162.6777149	685588	7380470	1505503
2	0.7	10	0.25	44	179.6841976	704301	7991570	1562238
2	0.6	10	0.25	47	197.2102714	808084	8671310	1679749
2	0.5	10	0.25	49	215.3073297	861181	9598670	1759030
2	0.4	10	0.25	51	234.0281522	923102	10422190	1851773
2	0.3	10	0.25	55	253.4877797	1083769	11962220	2040232
2	0.2	10	0.25	59	273.8567325	1226893	13951210	2227665
2	1.8	5	0.125	20	18.23366373	914094	6129750	1330535
2	1.7	5	0.125	23	29.48892733	1189098	8212300	1602992
2	1.6	5	0.125	25	41.54701418	1101933	9804440	1769249
2	1.5	5	0.125	27	54.27175152	1439058	11738280	1975060
2	1.4	5	0.125	30	67.60161361	1997314	14030070	2239783
2	1.3	5	0.125	32	81.49046451	1828295	15745980	2388465
2	1.2	5	0.125	34	95.90963073	2204948	17932210	2577282
2	1.1	5	0.125	36	110.846242	2389720	20305110	2773235
2	1	5	0.125	38	126.2956154	2644415	23112960	2974750
2	0.9	5	0.125	40	142.2613432	2595475	25497150	3141574
2	0.8	5	0.125	43	158.7620257	3333785	29516860	3436108
2	0.7	5	0.125	45	175.8191151	3246975	33271420	3623429
2	0.6	5	0.125	48	193.4701096	3431201	36741400	3858899
2	0.5	5	0.125	51	211.7653312	3991800	42586430	4145839
2	0.4	5	0.125	55	230.789819	4637229	48425780	4438529
2	0.3	5	0.125	60	250.6675284	6479340	59260650	4946447
2	0.2	5	0.125	66	271.6107105	25759483	183066420	5495822
2	1.8	2.5	0.0625	15	16.64616176	6174987	24696950	2437254
2	1.7	2.5	0.0625	18	27.28908569	8197508	34762650	3011111
2	1.6	2.5	0.0625	20	38.7867045	8764385	42679190	3483788
2	1.5	2.5	0.0625	23	51.01577794	9981791	54390190	4112795
2	1.4	2.5	0.0625	26	63.88827256	10765449	70227380	4685464
2	1.3	2.5	0.0625	28	77.37676	16925774	108201380	5126261
2	1.2	2.5	0.0625	31	91.44326133	51533692	345198250	5558634
2	1.1	2.5	0.0625	33	106.0860626	27621373	194007040	5686657
2	1	2.5	0.0625	36	121.3049174	15368525	112803780	6115355
2	0.9	2.5	0.0625	39	137.107919	23420509	155747560	6791539
2	0.8	2.5	0.0625	42	153.5150347	27188484	189907630	7432323
2	0.7	2.5	0.0625	46	170.5675325	27646102	216228040	8115899
2	0.6	2.5	0.0625	50	188.306891	35580798	269331830	8940216
2	0.5	2.5	0.0625	54	206.8094172	41856644	322301700	9708721
2	0.4	2.5	0.0625	59	226.1775612	40720925	320924620	9854193
2	0.3	2.5	0.0625	66	246.5794759	78855516	530143180	10921414
2	0.2	2.5	0.0625	75	268.2888046	12	130	14009964
2	1.8	100	2	39	29.03677742	60561	723230	245432
2	1.7	100	2	41	45.32569456	85345	1022310	257663
2	1.6	100	2	43	62.27313444	91367	1094570	268231
2	1.5	100	2	44	79.77871967	90798	1087710	276607
2	1.4	100	2	45	97.7694262	95558	1144250	283069
2	1.3	100	2	46	116.2114935	98978	1179880	290554
2	1.2	100	2	48	135.0883654	110591	1324270	308073
2	1.1	100	2	49	154.3809672	102367	1221670	309782
2	1	100	2	50	174.0795729	107927	1293210	315925
2	0.9	100	2	51	194.1848199	113362	1357510	323988
2	0.8	100	2	52	214.7031233	116201	1390960	330426
2	0.7	100	2	53	235.6466085	115706	1384590	338437
2	0.6	100	2	54	257.0360292	114716	1371380	345805
2	0.5	100	2	56	278.9124283	120088	1435690	358963
2	0.4	100	2	57	301.3252246	129527	1544650	366759
2	0.3	100	2	59	324.3517746	128519	1539650	379236
2	0.2	100	2	61	348.1276851	134213	1607260	394542
2	1.8	50	1	38	28.289205	121746	1455190	351511
2	1.7	50	1	40	44.32162562	123295	1473730	373203
2	1.6	50	1	42	61.05419065	130408	1547290	397884
2	1.5	50	1	43	78.38214648	135894	1612010	409414
2	1.4	50	1	45	96.22759301	139761	1667090	430405
2	1.3	50	1	46	114.5666323	143838	1717160	440637
2	1.2	50	1	47	133.3557538	148766	1766140	453068
2	1.1	50	1	48	152.5820622	150422	1787830	465566
2	1	50	1	50	172.2494817	159042	1886030	484798
2	0.9	50	1	51	192.3550021	157739	1876450	497663
2	0.8	50	1	52	212.8967568	164027	1951770	509176
2	0.7	50	1	54	233.8878959	172564	2041290	533537
2	0.6	50	1	55	255.377376	172611	2053610	542560
2	0.5	50	1	57	277.3691497	182556	2137000	570673
2	0.4	50	1	58	299.9464275	182706	2174590	579990
2	0.3	50	1	60	323.1792529	191641	2278140	604692
2	0.2	50	1	63	347.2277349	202192	2396150	639779
2	1.8	25	0.5	35	27.30181862	184548	2181010	543171
2	1.7	25	0.5	38	42.99601183	202508	2358400	604588
2	1.6	25	0.5	40	59.44839938	217894	2566570	638306
2	1.5	25	0.5	42	76.53652346	236861	2749690	683018
2	1.4	25	0.5	43	94.18994741	241544	2833180	702598
2	1.3	25	0.5	45	112.37272	256281	3025210	739161
2	1.2	25	0.5	46	131.0379351	270585	3167870	765139
2	1.1	25	0.5	48	150.1955115	280765	3320540	800193
2	1	25	0.5	49	169.8099787	294783	3464800	828384
2	0.9	25	0.5	51	189.9087096	313693	3669350	867618
2	0.8	25	0.5	53	210.4737702	334158	3809890	912057
2	0.7	25	0.5	54	231.5487224	344730	3998010	934618
2	0.6	25	0.5	56	253.1424014	353311	4116430	973834
2	0.5	25	0.5	58	275.3002904	374878	4414240	1014172
