r	c	alpha	beta	M	Q_B2m	Pi_B2m	Time_B2m	CPUTime_B2m	Comp_B2m
2	0.6	12.5	0.25	2	57	249.14907	74653	735920	6278
2	0.5	12.5	0.25	2	60	271.77356	92851	910530	7006
2	0.4	12.5	0.25	2	63	295.04963	109514	1126550	7820
2	0.3	12.5	0.25	2	66	319.10106	136261	1421850	8858
2	0.2	12.5	0.25	2	71	344.14508	184141	1945500	10401
2	1.8	6.25	0.125	2	25	22.727042	4081	34750	1282
2	1.7	6.25	0.125	2	29	36.895164	7103	61310	1702
2	1.6	6.25	0.125	2	32	52.062377	8927	81630	2000
2	1.5	6.25	0.125	2	35	68.114873	12304	113910	2395
2	1.4	6.25	0.125	2	37	84.9507	15856	147810	2725
2	1.3	6.25	0.125	2	40	102.57414	20461	196700	3106
2	1.2	6.25	0.125	2	42	120.86118	25642	247310	3468
2	1.1	6.25	0.125	2	45	139.84481	32895	318030	3978
2	1	6.25	0.125	2	47	159.42892	39739	392830	4411
2	0.9	6.25	0.125	2	50	179.68429	52552	490290	4886
2	0.8	6.25	0.125	2	53	200.61148	61519	620510	5534
2	0.7	6.25	0.125	2	56	222.16967	75893	774350	6253
2	0.6	6.25	0.125	2	59	244.37437	93281	960880	6996
2	0.5	6.25	0.125	2	62	267.28148	116559	1214080	7948
2	0.4	6.25	0.125	2	67	291.07445	153523	1608930	9207
2	0.3	6.25	0.125	2	72	315.74098	205468	2175890	10836
2	0.2	6.25	0.125	2	78	341.52346	290639	3065730	12920
2	1.8	3.125	0.0625	2	18	19.61047	1849	15870	819
2	1.7	3.125	0.0625	2	22	32.952923	3507	32600	1153
2	1.6	3.125	0.0625	2	25	47.330167	5461	52670	1477
2	1.5	3.125	0.0625	2	29	62.954954	8753	83300	1865
2	1.4	3.125	0.0625	2	32	79.352396	12678	121530	2268
2	1.3	3.125	0.0625	2	35	96.562121	17156	168410	2636
2	1.2	3.125	0.0625	2	38	114.53068	22991	228140	3092
2	1.1	3.125	0.0625	2	41	133.24611	30811	305200	3590
2	1	3.125	0.0625	2	45	152.78833	42528	428690	4283
2	0.9	3.125	0.0625	2	48	172.8936	54688	549860	4791
2	0.8	3.125	0.0625	2	52	193.8292	70644	727930	5594
2	0.7	3.125	0.0625	2	56	215.46858	94109	964300	6481
2	0.6	3.125	0.0625	2	60	237.86613	120780	1268610	7582
2	0.5	3.125	0.0625	2	66	261.21766	165864	1750920	9062
2	0.4	3.125	0.0625	2	72	285.47638	226372	2408170	10772
2	0.3	3.125	0.0625	2	79	310.85982	318245	3418040	12999
2	0.2	3.125	0.0625	2	89	337.66536	488973	5269750	16472
