r	c	alpha	beta	Q_Tm	Pi_Tm	Time_Tm	CPUTime_Tm	Comp_Tm
2	0.5	1.875	0.0625	41	151.285224	4863421	58077000	4978832
2	0.4	1.875	0.0625	46	166.1262383	6186293	73864130	5537162
2	0.3	1.875	0.0625	52	181.8657732	8023534	95804060	6210506
2	0.2	1.875	0.0625	60	198.7590031	10838752	129414020	7135166
2	1.8	80	2	30	22.24095198	35226	421810	175752
2	1.7	80	2	32	34.92949285	37828	453250	188094
2	1.6	80	2	33	48.19121706	38232	458370	194681
2	1.5	80	2	35	61.95938757	37891	452430	205133
2	1.4	80	2	36	76.16150879	42626	509110	212771
2	1.3	80	2	37	90.76541351	44285	530930	220005
2	1.2	80	2	38	105.7507053	47089	562610	224899
2	1.1	80	2	39	121.1042303	44427	532330	232517
2	1	80	2	40	136.8212254	48061	575920	239826
2	0.9	80	2	41	152.9027199	51877	621650	244261
2	0.8	80	2	42	169.354252	47766	569990	252876
2	0.7	80	2	43	186.1899466	51377	615690	259134
2	0.6	80	2	44	203.4290517	53881	645320	266479
2	0.5	80	2	45	221.1005716	53542	641470	273180
2	0.4	80	2	46	239.2449575	57557	686010	281884
2	0.3	80	2	48	257.9549274	58404	699900	293872
2	0.2	80	2	50	277.3358367	62010	740430	310359
2	1.8	40	1	29	21.58197144	53538	641560	248912
2	1.7	40	1	31	34.03775175	58374	698130	272094
2	1.6	40	1	32	47.10616152	58132	696650	284775
2	1.5	40	1	34	60.72149973	63253	758020	299719
2	1.4	40	1	35	74.79077254	64526	771000	314560
2	1.3	40	1	36	89.28722296	67629	810500	326254
2	1.2	40	1	37	104.1906411	70962	848130	337357
2	1.1	40	1	38	119.4877522	70285	842310	348872
2	1	40	1	40	135.184419	75423	903920	364176
2	0.9	40	1	41	151.2648437	76548	914950	379440
2	0.8	40	1	42	167.7400084	80063	959260	391729
2	0.7	40	1	43	184.6221226	83739	1000330	402125
2	0.6	40	1	44	201.9304951	84422	1011500	414127
2	0.5	40	1	46	219.7132898	87365	1044510	435965
2	0.4	40	1	47	238.0043352	92305	1102490	452658
